code,product_name,brands,grade,nutriscore_score,nova_group,main_category_en
4060800163820,7up free,7Up,B,0,4,Sweetened beverages
4901201225895,Green tea Lemon,Kyoko,B,0,4,Light iced teas
5000112558265,PET 50CL COCA COLA ZERO,Coca-Cola,B,0,4,Boissons-edulcorees
5060337505017,Monster Ultra Zero Zucker weiß,Monster,B,0,4,ja:soft-drink
5449000236692,Sera sugar calorie black ice tea lemon,Fuze Tea,B,0,4,Light iced teas
5449000260635,Coca cola zero sugar - cinnamon,Coca-Cola,B,0,4,Sweetened beverages
7340131600841,Caribbean,No carbs company,B,-1,4,Non-alcoholic beverages
7613196009387,Hirz Yoghurt Drink Mocca,"Nestlé,Hirz",B,2,4,Yogurt drinks
7613312376041,Energy Drink Zero sugar,Migros,B,0,4,Getranke
7640151710019,Raspberry Falls,Chiefs,B,2,4,Artificially sweetened beverages
7640151710309,Chiefs Milk Protein Mango Avenue Mangue-Pomme-Fruit de la passion,Chiefs,B,1,4,Artificially sweetened beverages
7649988243639,Tropic Reloadz Protein Water,Reloadz,B,2,4,de:proteiwasser
