food_group,n_ab,n_ab_nova4,share,lo,hi,share_of_all_ab_nova4
Ice cream,21,21,1,0.83890238478092,1,0.0125523012552301
Pizza pies and quiches,5,5,1,0.478176249895019,1,0.00298864315600717
Offals,1,1,1,0.025,1,0.000597728631201435
Artificially sweetened beverages,12,12,1,0.735351530602949,1,0.00717274357441722
Fruit nectars,5,5,1,0.478176249895019,1,0.00298864315600717
Sandwiches,5,5,1,0.478176249895019,1,0.00298864315600717
Pastries,1,1,1,0.025,1,0.000597728631201435
Processed meat,37,33,0.891891891891892,0.745824063922521,0.96974803493125,0.0197250448296473
Biscuits and cakes,27,23,0.851851851851852,0.662689135975756,0.958112603526233,0.013747758517633
Sweets,169,137,0.810650887573965,0.743341461623912,0.866733115573936,0.0818888224745965
Sweetened beverages,44,31,0.704545454545455,0.547978151915945,0.832356018771323,0.0185295875672445
Dairy desserts,156,100,0.641025641025641,0.560423350153828,0.716158461432186,0.0597728631201435
Milk and yogurt,365,219,0.6,0.547727387413733,0.650636752507073,0.130902570233114
Bread,184,96,0.521739130434783,0.447003678267592,0.595762936219946,0.0573819485953377
Uncategorised,446,227,0.508968609865471,0.461524578382571,0.556292946875528,0.135684399282726
One-dish meals,276,130,0.471014492753623,0.410904547635896,0.531753406373745,0.0777047220561865
Plant-based milk substitutes,77,36,0.467532467532468,0.352851104935514,0.584786753871379,0.0215182307232516
Meat,93,40,0.43010752688172,0.327846740984066,0.536943947340444,0.0239091452480574
Appetizers,21,9,0.428571428571429,0.21819685688513,0.659793690719725,0.00537955768081291
Teas and herbal teas and coffees,156,61,0.391025641025641,0.313991134721454,0.472282952273242,0.0364614465032875
Soups,53,17,0.320754716981132,0.199186646831634,0.463161228771561,0.0101613867304244
Dressings and sauces,209,67,0.320574162679426,0.257867700271109,0.388457534298479,0.0400478182904961
Breakfast cereals,281,88,0.313167259786477,0.259388953256812,0.370937926429019,0.0526001195457262
Cheese,41,12,0.292682926829268,0.161298569714308,0.455373983165363,0.00717274357441722
Potatoes,53,15,0.283018867924528,0.167857775196534,0.423477437864962,0.00896592946802152
Unsweetened beverages,60,15,0.25,0.147186073799004,0.378596355479544,0.00896592946802152
Salty and fatty products,20,5,0.25,0.0865714691014346,0.491045871707958,0.00298864315600717
Fish and seafood,226,53,0.234513274336283,0.18087641600978,0.295256595611062,0.031679617453676
Fruits,296,43,0.14527027027027,0.107169466705527,0.190649342767368,0.0257023311416617
Waters and flavored waters,255,36,0.141176470588235,0.100876889082078,0.190053572135551,0.0215182307232516
Dried fruits,15,2,0.133333333333333,0.0165759134400836,0.404602696603372,0.00119545726240287
Vegetables,427,35,0.0819672131147541,0.0577557317357136,0.112153916518742,0.0209205020920502
Legumes,238,18,0.0756302521008403,0.0454373128050586,0.116895909852161,0.0107591153616258
Fruit juices,27,2,0.0740740740740741,0.00910007294230628,0.242898346845627,0.00119545726240287
Cereals,810,57,0.0703703703703704,0.0537301719325847,0.0902148136466537,0.0340705319784818
Eggs,47,2,0.0425531914893617,0.00519558317674383,0.145405245488214,0.00119545726240287
Nuts,180,7,0.0388888888888889,0.0157759636278043,0.0784818451833531,0.00418410041841004
Fats,419,7,0.0167064439140811,0.00674256768554724,0.0341174027162243,0.00418410041841004
