grade,country,n,nova4,share_nova4,lo,hi
A,CH,3252,742,0.228167281672817,0.213839871728807,0.242985146187772
B,CH,2506,931,0.371508379888268,0.352549543748671,0.390767976296013
C,CH,5863,3695,0.630223435101484,0.617719017213866,0.642598140326331
D,CH,5435,3675,0.676172953081877,0.663548472076279,0.688608014929218
E,CH,6254,4674,0.747361688519348,0.736398706490567,0.758093522574547
A,DE,13117,2492,0.189982465502783,0.183300399505698,0.196802356858448
B,DE,8195,3004,0.366564978645516,0.356120165579464,0.377104757347388
C,DE,20637,12832,0.621795803653632,0.615138540803848,0.628418739845578
D,DE,20649,13290,0.643614702891181,0.637038248916639,0.650150701951624
E,DE,23268,18203,0.78231906481004,0.776960102976323,0.787607418724344
A,FR,39540,9191,0.232448153768336,0.228291886126622,0.236643746914983
B,FR,30205,11804,0.390796225790432,0.38528782921626,0.396325633059017
C,FR,59487,37748,0.634558811168827,0.630674176621584,0.638430314566009
D,FR,65082,43327,0.66572938754187,0.662090148581942,0.669353844873817
E,FR,73676,52995,0.719298007492264,0.716038021008165,0.722540716622332
